bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
1,RSRTC - 189622,Express Non AC Seater 2+3,22:00,07h 00m,05:00,3.5,294,33
1,Jain travels regd,A/C Seater / Sleeper (2+1),22:15,06h 15m,04:30,4.1,460,33
1,Kalpana Travels,NON A/C Sleeper (2+1),22:00,06h 54m,04:54,4.1,450,18
1,Ravi Travels,Non A/C Seater / Sleeper (2+1),21:30,06h 45m,04:15,5,400,45
1,R.S.Sodha Travels,A/C Seater / Sleeper (2+1),21:00,06h 10m,03:10,5,648,20
1,Raj Travel,A/C Sleeper (2+1),22:30,07h 00m,05:30,4.6,550,9
1,Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,06h 30m,04:30,3.8,600,18
1,Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,06h 00m,04:00,3.6,350,40
1,Rishabh Travels Milan,A/C Seater / Sleeper (2+1),20:30,05h 45m,02:15,3.3,500,20
1,Chandra Travels (Apex Chandra Pvt Ltd),NON AC Seater / Sleeper 2+1,22:45,05h 45m,04:30,3.4,350,26
1,Jain travels regd,NON AC Seater / Sleeper 2+1,23:15,07h 15m,06:30,3.3,350,29
1,Ravi Travels,Non A/C Seater / Sleeper (2+1),23:00,06h 45m,05:45,2.5,400,38
1,Jain travels regd,NON AC Seater / Sleeper 2+1,22:15,06h 45m,05:00,2.6,350,21
1,Shrinath travel agency,AC Sleeper (2+1),22:10,05h 20m,03:30,2,550,26
1,M R Travels,NON A/C Seater/ Sleeper (2+1),23:30,06h 30m,06:00,2.3,360,29
1,Lake City Travels,A/C Seater / Sleeper (2+1),22:45,06h 35m,05:20,1.3,350,19
1,Jain Parshwanath Travels,NON A/C Sleeper (2+1),22:00,06h 45m,04:45,2.4,520,20
2,RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,03h 45m,23:45,4.4,460,34
2,RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,04h 30m,01:30,4.3,302,37
2,RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,23:00,03h 45m,02:45,4.2,458,31
2,RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,03h 46m,03:45,4.5,302,17
2,M R Travels,NON A/C Seater/ Sleeper (2+1),18:45,04h 55m,23:40,3.9,495,19
2,Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,04h 36m,23:36,5,330,17
2,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),19:30,03h 30m,23:00,3,600,38
2,Jain travels regd,AC Sleeper (2+1),20:00,04h 30m,00:30,3.9,580,30
2,Jain travels regd,NON AC Seater / Sleeper 2+1,20:30,05h 00m,01:30,3.5,330,48
2,M R Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:30,04h 20m,00:50,3.9,510,33
2,Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,04h 45m,01:15,3.5,500,11
2,Tiger Travels,NON AC Seater / Sleeper 2+1,21:00,05h 30m,02:30,4,400,34
2,Jakhar Travels And Cargo,A/C Sleeper (2+1),21:45,06h 00m,03:45,3.1,500,33
2,M R Travels,A/C Seater / Sleeper (2+1),22:00,04h 15m,02:15,3.9,510,35
2,FlixBus,A/C Sleeper (2+1),22:00,04h 20m,02:20,3.7,176.79,31
2,V k jain travels,NON A/C Seater/ Sleeper (2+1),22:00,04h 50m,02:50,3.5,350,34
2,V k jain travels,A/C Seater / Sleeper (2+1),22:01,04h 50m,02:51,3.5,430,34
2,Jain travels regd,A/C Seater / Sleeper (2+1),22:30,03h 50m,02:20,3.3,500,42
2,Chouhan travels and Cargo,A/C Seater / Sleeper (2+1),22:35,04h 45m,03:20,3.4,666.67,40
2,M R Travels,A/C Seater / Sleeper (2+1),22:45,03h 40m,02:25,5,510,27
2,Jakhar Travels,A/C Seater / Sleeper (2+1),23:00,04h 30m,03:30,5,410,11
2,Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),23:30,04h 30m,04:00,3.6,400,32
2,Jakhar Travels And Cargo,A/C Seater / Sleeper (2+1),23:40,04h 20m,04:00,4.3,400,21
2,Shri Ganesh Travels (LR SIYOL),A/C Seater / Sleeper (2+1),23:55,04h 35m,04:30,3.9,450,16
2,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),23:59,04h 16m,04:15,3,600,24
2,Om Travels,NON AC Seater / Sleeper 2+1,18:35,04h 35m,23:10,2.6,400,33
2,RR Travels,A/C Seater / Sleeper (2+1),18:55,06h 20m,01:15,1.9,333,41
2,Swagat Travels,A/C Seater / Sleeper (2+1),22:42,04h 08m,02:50,1,450,40
2,Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,04h 50m,23:50,2.4,330,38
2,Jakhar Travels,VE A/C Sleeper (2+1),19:45,05h 00m,00:45,2.8,650,4
2,Jai Shankar Travels,Non A/C Seater / Sleeper (2+1),20:10,06h 20m,02:30,1,350,34
2,Salasar vaishnav travels,Non A/C Seater / Sleeper (2+1),20:30,04h 30m,01:00,2.3,450,30
2,Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,04h 51m,02:51,1.4,330,42
2,Laxmi traveller,A/C Seater / Sleeper (2+1),22:00,04h 46m,02:46,2.2,430,40
2,Gajraj Travels,A/C Sleeper (2+1),22:00,05h 10m,03:10,2.3,650,34
2,Pooja Paraswnath Travels,A/C Seater / Sleeper (2+1),22:00,05h 34m,03:34,2.3,500,32
2,Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,04h 30m,02:30,2.6,500,25
2,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),22:26,04h 45m,03:11,1,700,33
2,Jakhar Travels And Cargo,A/C Sleeper (2+1),22:30,04h 10m,02:40,1,500,33
2,Laxmi traveller,A/C Seater / Sleeper (2+1),22:45,05h 30m,04:15,2.2,450,40
2,CHANDRA RAJ TRAVELS,AC Sleeper (2+1),23:00,03h 50m,02:50,1.3,700,32
2,Jakhar Travels,A/C Seater / Sleeper (2+1),23:39,04h 51m,04:30,1,500,21
2,bhaiya travels,NON A/C Sleeper (2+1),18:35,04h 52m,23:27,3,850,34
2,Bluecity Bus,A/C Sleeper (2+1),19:00,04h 55m,23:55,5,950,25
2,M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,04h 20m,23:50,5,969,19
2,Chanakya Travels Agency,A/C Sleeper (1+2),21:30,04h 10m,01:40,3.5,950,11
2,Chanakya Travels Agency,AC Sleeper (2+1),21:30,04h 00m,01:30,3.5,950,36
2,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),22:45,04h 30m,03:15,5,800,31
2,Gajraj Travels,A/C Sleeper (2+1),19:15,04h 35m,23:50,2.3,950,27
2,Deepak Travells,NON A/C Seater/ Sleeper (2+1),21:50,07h 10m,05:00,2.9,2850,37
3,RSRTC - 188804,Express Non AC Seater 2+3,20:00,03h 45m,23:45,2,211,42
3,RSRTC - 160785,Super Luxury Volvo AC Seater Pushback 2+2,20:30,03h 15m,23:45,2.5,424,24
3,RSRTC - 190584,Express Non AC Seater 2+3,20:50,04h 20m,01:10,3.6,211,42
3,RSRTC - 172923,Express Non AC Seater 2+3,21:15,04h 15m,01:30,3.6,211,42
3,RSRTC - 190951,Express Non AC Seater 2+3,21:20,04h 10m,01:30,3.6,211,42
3,RSRTC - 194960,Express Non AC Seater 2+3,22:30,04h 15m,02:45,3.6,211,42
3,RSRTC - 163969,Express Non AC Seater 2+3,22:30,03h 45m,02:15,3.6,211,42
3,RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,22:45,03h 30m,02:15,3.6,424,35
3,Jain travels regd,NON AC Seater / Sleeper 2+1,19:30,03h 30m,23:00,3.8,350,42
3,Devraj Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:20,02h 39m,23:59,4,450,38
3,Jain travels regd,NON AC Seater/ Sleeper (2+1),21:45,03h 30m,01:15,3.8,300,40
3,Pandit Travels,NON AC Seater / Sleeper 2+1,21:45,03h 30m,01:15,5,500,36
3,Jain travels regd,NON AC Seater / Sleeper 2+1,22:21,03h 36m,01:57,5,400,8
3,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),22:30,03h 30m,02:00,3.1,600,36
3,Jain travels regd,NON AC Seater / Sleeper 2+1,22:55,02h 50m,01:45,3.8,350,38
3,Sagwan Travels,A/C Seater / Sleeper (2+1),23:30,03h 13m,02:43,3.4,370,30
3,M R Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:50,03h 15m,03:05,3.8,510,33
3,RR Travels,A/C Seater / Sleeper (2+1),21:20,03h 35m,00:55,1.9,475,41
3,Dashmesh Travels,A/C Seater / Sleeper (2+1),21:45,03h 30m,01:15,2,555,28
3,Om Travels,NON AC Seater / Sleeper 2+1,22:10,03h 35m,01:45,2.6,300,33
3,Dashmesh Travels,A/C Seater / Sleeper (2+1),23:30,03h 30m,03:00,2,555,39
3,Mahaveer Travel Company,A/C Seater / Sleeper (2+1),23:45,03h 45m,03:30,2.9,600,36
3,Ajay Raj Travel Agency,A/C Seater / Sleeper (2+1),23:45,03h 30m,03:15,2.3,415,28
3,Western Bus,A/C Sleeper (2+1),19:00,04h 30m,23:30,3.1,800,30
3,Western Bus,A/C Sleeper (2+1),19:00,04h 30m,23:30,3.1,800,18
3,Jain travels regd,NON A/C Sleeper (2+1),20:10,03h 00m,23:10,3.8,1200,26
3,bhaiya travels,NON A/C Sleeper (2+1),21:10,03h 30m,00:40,3,850,36
3,Jain Travels Regd Udaipur,A/C Seater / Sleeper (2+1),21:15,03h 10m,00:25,3.1,900,38
3,bhaiya travels,NON A/C Sleeper (2+1),22:25,03h 30m,01:55,3,850,34
3,Nandu Travels,NON A/C Sleeper (2+1),22:28,03h 09m,01:37,3.6,800,36
3,Bluecity Bus,A/C Sleeper (2+1),22:30,04h 00m,02:30,4.3,950,22
3,NS Travels,A/C Sleeper (2+1),22:50,03h 40m,02:30,3.9,1200,9
3,M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),22:55,03h 05m,02:00,3.8,969,11
3,Jain travels regd,AC Sleeper (2+1),23:00,03h 15m,02:15,3.8,800,9
3,Gajraj Travels,A/C Sleeper (2+1),23:00,03h 00m,02:00,4.4,950,25
3,Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),23:50,03h 25m,03:15,5,750,5
3,Chanakya Travels Agency,AC Sleeper (2+1),00:40,03h 00m,03:40,5,800,36
3,Chanakya Travels Agency,A/C Sleeper (1+2),00:40,03h 05m,03:45,5,700,11
3,Om Travels,NON A/C Sleeper (2+1),19:00,05h 10m,00:10,2.6,1200,30
3,NS Travels,A/C Sleeper (2+1),23:50,03h 50m,03:40,3.9,1350,36
3,SHREE MARUTIKRUPA TRAVELS AND CARGO,NON AC Seater / Sleeper 2+1,19:00,04h 15m,23:15,2.4,740,35
3,NTC Travels,NON AC Seater / Sleeper 2+1,23:36,03h 30m,03:06,2.7,854,34
4,RSRTC - 193580,Express Non AC Seater 2+3,19:40,01h 50m,21:30,3.8,129,42
4,RSRTC - 194319,Deluxe AC Seater 2+2,20:00,02h 00m,22:00,3.8,228,37
4,RSRTC - 177354,Express Non AC Seater 2+3,20:10,02h 05m,22:15,3.8,129,42
4,RSRTC - 188344,Express Non AC Seater 2+3,21:00,02h 00m,23:00,3.8,129,42
4,RSRTC - 168785,Express Non AC Seater 2+3,21:00,02h 15m,23:15,3.8,129,42
4,RSRTC - 177523,Express Non AC Seater 2+3,21:10,02h 05m,23:15,3.8,129,42
4,RSRTC - 171167,Express Non AC Seater 2+3,21:20,01h 40m,23:00,1,129,42
4,RSRTC - 168794,Express Non AC Seater 2+3,21:50,02h 25m,00:15,3.8,129,42
4,RSRTC - 195158,Express Non AC Seater 2+3,22:15,01h 44m,23:59,3.8,129,42
4,RSRTC - 178042,Express Non AC Seater 2+3,23:40,12h 19m,11:59,1,129,42
4,New Babu Travels,A/C Seater/Sleeper (2+1),19:45,03h 15m,23:00,3.2,332.38,17
4,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),20:00,03h 00m,23:00,5,315,15
4,Rishabh travels,AC Sleeper (2+1),20:04,03h 27m,23:31,3.5,360,18
4,Raj travels Jhunjhunu,A/C Seater / Sleeper (2+1),20:15,02h 30m,22:45,3.3,369,37
4,Raj travels Jhunjhunu,A/C Seater / Sleeper (2+1),20:35,02h 55m,23:30,3.3,278,27
4,Neeraj travels,A/C Seater / Sleeper (2+1),20:40,02h 40m,23:20,5,333,21
4,Dashmesh Travels,A/C Seater / Sleeper (2+1),21:00,02h 00m,23:00,3.4,370,29
4,Raj travels Jhunjhunu,A/C Seater / Sleeper (2+1),21:00,02h 15m,23:15,3,370,39
4,Sagwan Travels,A/C Seater / Sleeper (2+1),19:30,02h 25m,21:55,2,278,21
4,Ajay Raj Travel Agency,A/C Seater / Sleeper (2+1),20:00,03h 00m,23:00,2.3,278,34
4,Sagwan Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:00,02h 30m,22:30,2,278,38
4,Ajay Raj Travel Agency,A/C Seater / Sleeper (2+1),20:10,02h 15m,22:25,2.3,200,32
4,Mahadev Travels Pilani,A/C Seater / Sleeper (2+1),21:15,02h 10m,23:25,2.6,300,17
4,Ajay Raj Travel Agency,Bharat Benz A/C Seater /Sleeper (2+1),21:15,01h 50m,23:05,2.3,278,36
4,New Deep Travels,Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2),18:40,01h 50m,20:30,4,633,24
4,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),18:45,02h 55m,21:40,5,405,29
4,Garhwal Travels,A/C Seater / Sleeper (2+1),19:05,03h 05m,22:10,3.1,555,23
4,Bhagwati Travel Agency,A/C Seater / Sleeper (2+1),19:50,03h 00m,22:50,3.4,554,33
4,SHEKHAR TRAVELS,A/C Seater / Sleeper (2+1),20:10,03h 20m,23:30,3.1,600,29
4,Jain Pareek Travels,NON A/C Sleeper (2+1),19:15,02h 15m,21:30,3.2,900,30
4,THE REINDEER BUS,Volvo 9600 A/C Sleeper (2+1),20:15,01h 55m,22:10,4.4,650,16
4,SHEKHAR TRAVELS,A/C Seater / Sleeper (2+1),20:29,02h 30m,22:59,3.1,600,8
4,Rathore Travels Madho,A/C Seater / Sleeper (2+1),20:30,02h 00m,22:30,3.7,476.19,35
4,Jakhar Travels,A/C Seater / Sleeper (2+1),20:45,02h 45m,23:30,3.7,500,41
4,Maharaja Travels,A/C Seater / Sleeper (2+1),20:45,02h 10m,22:55,3.2,524,36
4,SKYNET TRAVELS AND CARGO,A/C Sleeper (2+1),21:25,01h 40m,23:05,5,810,30
4,Neelam Travels,A/C Seater / Sleeper (2+1),23:00,01h 30m,00:30,3.5,500,38
4,Mahalaxmi Travels,A/C Seater / Sleeper (2+1),18:50,03h 00m,21:50,1,399,42
4,Rohit Raj Travels,AC Sleeper (2+1),19:00,03h 05m,22:05,1.9,1200,32
4,Om shree ji travles,NON A/C Seater/ Sleeper (2+1),19:15,04h 00m,23:15,2.7,555,42
4,Jai Shrinath Ji Ki Travels,Non A/C Seater / Sleeper (2+1),20:00,02h 45m,22:45,1,450,36
4,Devraj Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:31,01h 26m,23:57,1,399,38
5,Jain travels regd,AC Sleeper (2+1),22:05,07h 00m,05:05,4.2,600,13
5,M R Travels,A/C Seater / Sleeper (2+1),22:15,07h 15m,05:30,4,510,16
5,Jain travels regd,A/C Seater / Sleeper (2+1),23:00,07h 00m,06:00,4.1,450,20
5,Geetanjali Travels,NON AC Seater / Sleeper 2+1,23:00,07h 05m,06:05,5,350,26
5,M R Travels,A/C Seater / Sleeper (2+1),23:35,06h 35m,06:10,4,663,3
5,Gajraj Travels,A/C Sleeper (2+1),22:15,07h 20m,05:35,4.6,600,1
5,Shree Ganesh Travels,A/C Seater / Sleeper (2+1),20:00,07h 05m,03:05,5,600,4
5,Jain travels regd,NON AC Seater / Sleeper 2+1,21:45,07h 15m,05:00,3.6,350,18
5,Gayatri Travels,NON A/C Sleeper (2+1),22:30,06h 00m,04:30,3,450,17
5,Jain Shiv Shankar Travels,NON A/C Seater/ Sleeper (2+1),21:50,06h 55m,04:45,3.6,350,21
5,Shree Paras Travels,NON AC Seater / Sleeper 2+1,21:00,08h 30m,05:30,3.6,350,33
5,Jakhar Travels,A/C Seater / Sleeper (2+1),21:45,07h 45m,05:30,3.5,429,9
5,Shailu Tour and Travels,A/C Seater / Sleeper (2+1),19:30,10h 00m,05:30,3,2000,12
5,Swagat Travels,A/C Seater / Sleeper (2+1),20:00,07h 50m,03:50,3.7,540,20
5,Pooja Travels,AC Sleeper (2+1),22:00,07h 00m,05:00,1,600,19
5,M R Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06h 35m,06:30,2.3,510,26
5,Shre Ganesh Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:40,06h 05m,05:45,2.1,700,18
5,Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),18:55,05h 35m,00:30,2.4,400,3
5,Geetanjali Travels,NON AC Seater / Sleeper 2+1,21:40,07h 05m,04:45,1.9,400,8
5,Jakhar Travels And Cargo,A/C Seater / Sleeper (2+1),20:30,07h 20m,03:50,2.4,750,12
5,RR Travels,A/C Seater / Sleeper (2+1),20:20,07h 50m,04:10,2,523,32
5,R.S.Sodha Travels,A/C Seater / Sleeper (2+1),21:50,05h 20m,03:10,1.8,648,4
5,Jakhar Travels And Cargo,A/C Seater / Sleeper (2+1),21:00,06h 55m,03:55,1,700,3
5,Kalpana Travels Pvt. Ltd.,A/C Seater / Sleeper (2+1),20:15,06h 45m,03:00,2.4,600,18
5,Jain Shiv Shankar Travels,NON A/C Seater/ Sleeper (2+1),20:40,07h 10m,03:50,1.7,500,22
5,Chouhan travels and Cargo,A/C Seater / Sleeper (2+1),20:20,07h 10m,03:30,2,600,27
5,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),19:00,07h 30m,02:30,1.6,350,16
5,Jakhar Travels And Cargo,A/C Sleeper (2+1),21:00,06h 40m,03:40,2.7,800,5
5,BG Travels,A/C Seater / Sleeper (2+1),21:30,07h 55m,05:25,1.1,925,33
5,Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),19:45,04h 50m,00:35,2,400,3
5,Jakhar Travels,A/C Sleeper (2+1),21:00,06h 50m,03:50,2.3,600,12
6,RSRTC - 194122,Semi Deluxe Non AC Seater 2+2,21:31,06h 29m,04:00,2.9,411,20
